Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-2.6038E-08,-1.5225E-08,0.00010799,0,0,0,0.95598,0.00067653,8.2306E-12,6.9546E-10,0.00043738,1.5395E-10,0.00063374,0,0,0,0,0,0,package://H780bv2.SLDASM/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://H780bv2.SLDASM/meshes/base_link.STL,,hippitch-1,base_cord,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_hip_pitch_link,-0.01046,0.034126,-0.01669,0,0,0,0.35475,0.00017846,-1.224E-06,9.5082E-07,0.00016077,4.9674E-06,0.0001619,0,0,0,0,0,0,package://H780bv2.SLDASM/meshes/left_hip_pitch_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://H780bv2.SLDASM/meshes/left_hip_pitch_link.STL,,lefthiproll-1,left_hip_pitch_cord,left_hip_pitch_axis,left_hip_pitch_joint,revolute,0,0.0615,0,0,0,0,base_link,0,1,0,48,12.566,-2.5307,2.8798,,,,,,,,
left_hip_roll_link,0.000563729674484424,0.00024023402195833,-0.0575005489611565,0,0,0,0.399035531156051,0.000253948286061303,5.51876654800263E-07,8.77014897628423E-07,0.000241668068569916,-7.36651657872043E-07,0.000187491606846837,0,0,0,0,0,0,package://H780bv2.SLDASM/meshes/left_hip_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://H780bv2.SLDASM/meshes/left_hip_roll_link.STL,,lefthipyaw-1,left_hip_roll_cord,left_hip_roll_axis,left_hip_roll_joint,revolute,0.012045,0.035,-0.017465,0,0,0,left_hip_pitch_link,1,0,0,14,27.227,-0.5236,2.9671,,,,,,,,
left_hip_yaw_link,-0.00830577126112742,-0.00401954499943484,-0.054620366884708,0,0,0,0.107256706443128,0.000104863315757886,3.68070646196784E-06,-8.17582878632601E-06,9.54381720911631E-05,6.31106258381648E-06,6.22771036516972E-05,0,0,0,0,0,0,package://H780bv2.SLDASM/meshes/left_hip_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://H780bv2.SLDASM/meshes/left_hip_yaw_link.STL,,leftkneepitch-1,left_hip_yaw_cord,left_hip_yaw_axis,left_hip_yaw_joint,revolute,-0.0014,0,-0.089035,0,0,0,left_hip_roll_link,0,0,1,14,27.227,-2.7576,2.7576,,,,,,,,
left_knee_pitch_link,0.00287073056298838,-0.0305282117653435,-0.0589489776360531,0,0,0,1.28968322408995,0.00101876405071696,4.2666804349983E-06,3.03169335798031E-05,0.000914640983939047,-3.23839653851756E-05,0.000626818918948862,0,0,0,0,0,0,package://H780bv2.SLDASM/meshes/left_knee_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://H780bv2.SLDASM/meshes/left_knee_pitch_link.STL,,leftcalf-1,left_knee_pitch_cord,left_knee_pitch_axis,left_knee_pitch_joint,revolute,-0.031116,0.031,-0.086991,0,0,0,left_hip_yaw_link,0,1,0,48,12.566,-0.0872,2.5307,,,,,,,,
left_ankle_pitch_link,-0.00431251433379506,-8.29255983325616E-10,-0.00392559144958809,0,0,0,0.0145665141910836,3.27567826168147E-07,-4.24764160797498E-13,-2.20368961443478E-07,8.66751611167878E-07,-1.13559339303749E-12,7.13890558950058E-07,0,0,0,0,0,0,package://H780bv2.SLDASM/meshes/left_ankle_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://H780bv2.SLDASM/meshes/left_ankle_pitch_link.STL,,leftcrossshaft-1,left_ankle_pitch_cord,left_ankle_pitch_axis,left_ankle_pitch_jiont,revolute,0.022233,-0.031,-0.19335,0,0,0,left_knee_pitch_link,0,1,0,14,27.227,-0.87267,0.5236,,,,,,,,
left_ankle_roll_link,0.0386677603328724,-4.24243973284888E-14,-0.00796762666349413,0,0,0,0.0685682338524018,1.16287641346063E-05,-2.58114399686088E-17,-2.99349420474991E-07,7.26966156414707E-05,1.13599022960274E-18,8.21843479413391E-05,0,0,0,0,0,0,package://H780bv2.SLDASM/meshes/left_ankle_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://H780bv2.SLDASM/meshes/left_ankle_roll_link.STL,,leftfoot-1,left_ankle_roll_cord,left_ankle_roll_axis,left_ankle_roll_joint,revolute,-0.0255,0,-0.009,0,0,0,left_ankle_pitch_link,1,0,0,14,27.227,-0.2618,0.2618,,,,,,,,
right_hip_pitch_link,-0.0104598069751148,-0.0341257425653734,-0.0166901486909431,0,0,0,0.354746820623711,0.000178457529283584,1.22400949661261E-06,9.50823167524687E-07,0.000160774519037387,-4.96735379733118E-06,0.00016190102030456,0,0,0,0,0,0,package://H780bv2.SLDASM/meshes/right_hip_pitch_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://H780bv2.SLDASM/meshes/right_hip_pitch_link.STL,,righthiproll-1,right_hip_pitch_cord,right_hip_pitch_axis,right_hip_pitch_joint,revolute,0,-0.0615,0,0,0,0,base_link,0,1,0,48,12.566,-2.5307,2.8798,,,,,,,,
right_hip_roll_link,0.00056346775242555,-0.000240722361758011,-0.0575015521594692,0,0,0,0.399025183661782,0.000253916320754267,-5.55084422550168E-07,8.77084903340663E-07,0.000241682074077363,7.33115326410054E-07,0.000187485606803481,0,0,0,0,0,0,package://H780bv2.SLDASM/meshes/right_hip_roll_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://H780bv2.SLDASM/meshes/right_hip_roll_link.STL,,righthipyaw-1,right_hip_roll_cord,right_hip_roll_axis,right_hip_roll_joint,revolute,0.012045,-0.035,-0.017465,0,0,0,right_hip_pitch_link,1,0,0,14,27.227,-0.5236,2.9671,,,,,,,,
right_hip_yaw_link,-0.00830598192395614,0.00401981366216746,-0.054620871926642,0,0,0,0.107255645514928,0.000104861455365077,-3.6810254775053E-06,-8.17514917657732E-06,9.54360670175321E-05,-6.31087796658821E-06,6.2276517496996E-05,0,0,0,0,0,0,package://H780bv2.SLDASM/meshes/right_hip_yaw_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://H780bv2.SLDASM/meshes/right_hip_yaw_link.STL,,rightkneepitch-1,right_hip_yaw_cord,right_hip_yaw_axis,right_hip_yaw_joint,revolute,-0.0014,0,-0.089035,0,0,0,right_hip_roll_link,0,0,1,14,27.227,-2.7576,2.7576,,,,,,,,
